2026-01-19 03:24:47,168 | INFO     | bot             | ========== DONGU #2 ==========
2026-01-19 03:26:28,263 | INFO     | bot             | Bot modu: fake_money
2026-01-19 03:26:28,263 | INFO     | bot             | Bot baslatiliyor...
2026-01-19 03:26:28,263 | INFO     | bot             | Database baslatiliyor...
2026-01-19 03:26:28,265 | INFO     | bot             | Borsalar baglaniyor...
2026-01-19 03:26:32,296 | INFO     | bot             | Bakiyeler yukleniyor...
2026-01-19 03:26:32,297 | INFO     | bot             | Orderbook yoneticisi baslatiliyor...
2026-01-19 03:26:32,298 | INFO     | bot             | Islem executor'i hazirlaniyor...
2026-01-19 03:26:32,298 | INFO     | bot             | Risk yoneticisi baslatiliyor...
2026-01-19 03:26:32,299 | INFO     | bot             | Performans takipcisi baslatiliyor...
2026-01-19 03:26:32,300 | INFO     | bot             | Stratejiler yukleniyor...
2026-01-19 03:26:32,300 | INFO     | bot             |   Spot Arbitrage stratejisi aktif
2026-01-19 03:26:32,301 | INFO     | bot             |   Triangular Arbitrage stratejisi aktif
2026-01-19 03:26:32,301 | INFO     | bot             | Baslangic bakiyesi: $250.00
2026-01-19 03:26:32,301 | INFO     | bot             | Bot basariyla baslatildi!
2026-01-19 03:26:32,302 | INFO     | bot             | ANA DONGU BASLADI!
2026-01-19 03:26:32,302 | INFO     | bot             | MAIN LOOP ICINDEYIM!
2026-01-19 03:26:32,303 | INFO     | bot             | ========== DONGU #1 ==========
2026-01-19 03:26:48,872 | INFO     | bot             | ========== DONGU #2 ==========
2026-01-19 03:27:06,091 | INFO     | bot             | ========== DONGU #3 ==========
2026-01-19 03:27:18,820 | INFO     | bot             | Bot durduruluyor...
2026-01-19 03:27:19,351 | INFO     | bot             | Bot durduruldu
2026-01-19 03:27:23,084 | INFO     | bot             | Bot durduruluyor...
2026-01-19 03:27:23,084 | INFO     | bot             | Bot durduruldu
2026-01-19 03:30:00,889 | INFO     | bot             | Bot modu: fake_money
2026-01-19 03:30:00,890 | INFO     | bot             | Bot baslatiliyor...
2026-01-19 03:30:00,890 | INFO     | bot             | Database baslatiliyor...
2026-01-19 03:30:00,892 | INFO     | bot             | Borsalar baglaniyor...
2026-01-19 03:30:05,348 | INFO     | bot             | Bakiyeler yukleniyor...
2026-01-19 03:30:05,349 | INFO     | bot             | Orderbook yoneticisi baslatiliyor...
2026-01-19 03:30:05,350 | INFO     | bot             | Islem executor'i hazirlaniyor...
2026-01-19 03:30:05,350 | INFO     | bot             | Risk yoneticisi baslatiliyor...
2026-01-19 03:30:05,351 | INFO     | bot             | Performans takipcisi baslatiliyor...
2026-01-19 03:30:05,352 | INFO     | bot             | Stratejiler yukleniyor...
2026-01-19 03:30:05,352 | INFO     | bot             |   Spot Arbitrage stratejisi aktif
2026-01-19 03:30:05,352 | INFO     | bot             |   Triangular Arbitrage stratejisi aktif
2026-01-19 03:30:05,354 | INFO     | bot             | Baslangic bakiyesi: $250.00
2026-01-19 03:30:05,354 | INFO     | bot             | Bot basariyla baslatildi!
2026-01-19 03:30:05,354 | INFO     | bot             | ANA DONGU BASLADI!
2026-01-19 03:30:05,354 | INFO     | bot             | MAIN LOOP ICINDEYIM!
2026-01-19 03:30:05,354 | INFO     | bot             | ========== DONGU #1 ==========
2026-01-19 03:30:22,216 | INFO     | bot             | ========== DONGU #2 ==========
2026-01-19 03:30:22,216 | INFO     | bot             | ⏸ Bot duraklatildi. /resume ile devam edebilirsin.
2026-01-19 03:30:23,228 | INFO     | bot             | ========== DONGU #3 ==========
2026-01-19 03:30:24,238 | INFO     | bot             | ========== DONGU #4 ==========
2026-01-19 03:30:25,233 | INFO     | bot             | ========== DONGU #5 ==========
2026-01-19 03:30:26,244 | INFO     | bot             | ========== DONGU #6 ==========
2026-01-19 03:30:27,243 | INFO     | bot             | ========== DONGU #7 ==========
2026-01-19 03:30:34,647 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:30:35,507 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:30:45,514 | INFO     | bot             | ========== DONGU #8 ==========
2026-01-19 03:31:02,584 | INFO     | bot             | ========== DONGU #9 ==========
2026-01-19 03:39:45,828 | INFO     | bot             | Bot modu: fake_money
2026-01-19 03:39:45,829 | INFO     | bot             | Bot baslatiliyor...
2026-01-19 03:39:45,829 | INFO     | bot             | Database baslatiliyor...
2026-01-19 03:39:45,831 | INFO     | bot             | Borsalar baglaniyor...
2026-01-19 03:39:50,200 | INFO     | bot             | Bakiyeler yukleniyor...
2026-01-19 03:39:50,201 | INFO     | bot             | Orderbook yoneticisi baslatiliyor...
2026-01-19 03:39:50,202 | INFO     | bot             | Islem executor'i hazirlaniyor...
2026-01-19 03:39:50,203 | INFO     | bot             | Risk yoneticisi baslatiliyor...
2026-01-19 03:39:50,203 | INFO     | bot             | Performans takipcisi baslatiliyor...
2026-01-19 03:39:50,204 | INFO     | bot             | Stratejiler yukleniyor...
2026-01-19 03:39:50,205 | INFO     | bot             |   Spot Arbitrage stratejisi aktif
